timestamp,Sda states :: get_FCCH:FSO1_LAPC_RPT_FS_STATE,Sda states :: get_FCCH:FSO1_LAPC_RPT_FS_FAST,Sda states :: get_mode:OH1_MODE,Sda states :: get_preamble:PREAMBLE_SYNC,Sda states :: get_sda:OH1_SDA_STATE,Sda states :: get_tracking_mode:OH1_FTC_FINE_TRACKING_MODE,Tracking sensor beam incidence :: A:OH1_TS_BEAM_INCIDENCE_X,Tracking sensor beam incidence :: A:OH1_TS_BEAM_INCIDENCE_Y,Tracking sensor beam incidence :: B:OH1_TS_SUM,Mean OH temperatures :: OH1_BASE_TEMP_1,Mean OH temperatures :: OH1_BASE_TEMP_2,Mean OH temperatures :: OH1_BASE_TEMP_3,Mean OH temperatures :: OH1_FPA_TEMP,Mean OH temperatures :: OH1_PAA_TEMP,Mean OH temperatures :: OH1_OPTICS_TEMP_1,Mean OH temperatures :: OH1_OPTICS_TEMP_2,Mean OH temperatures :: OH1_OPTICS_TEMP_3,Tx/Rx Alignment Report :: TIME,Tx/Rx Alignment Report :: OFFSET_TILT,Tx/Rx Alignment Report :: OFFSET_TIP,Tx/Rx Alignment Report :: STATUS,Tx/Rx Alignment Report :: EDID,PAT CONFIGURATION :: FSO1_TX_CH,PAT CONFIGURATION :: FSO1_RX_CH,PAT CONFIGURATION :: FSO1_TX_TONE_MI,PAT CONFIGURATION :: FSO1_PL_RATE,PAT CONFIGURATION :: FSO1_TX_TONE_FREQ,PAT CONFIGURATION :: FSO1_ENCODING,PAT CONFIGURATION :: FSO1_SIGNAL_RATE,PAT CONFIGURATION :: FSO1_TX_ENABLE,PAT CONFIGURATION :: FSO1_RX_ENABLE,CPA Pointing :: OH1_AZIMUTH,CPA Pointing :: OH1_ELEVATION,CPA Pointing :: OH1_AZIMUTH_STD,CPA Pointing :: OH1_ELEVATION_STD,Received power evolution :: A:OH1_TS_SUM_RMS,Received power evolution :: B:OH1_TS_SUM_RAW,Line of Sight predicted VS actual :: OH1_PRED_AZ_EL_p0,Line of Sight predicted VS actual :: OH1_PRED_AZ_EL_p1,Line of Sight predicted VS actual :: OH1_LOS_AZ_EL_p0,Line of Sight predicted VS actual :: OH1_LOS_AZ_EL_p1,Velocities :: bus_vel_ecef_m_per_s_x,Velocities :: bus_vel_ecef_m_per_s_y,Velocities :: bus_vel_ecef_m_per_s_z,Fast steering mirrors evolution :: OH1_FPA_TIP,Fast steering mirrors evolution :: OH1_FPA_TILT,Fast steering mirrors evolution :: OH1_PAA_TIP,Fast steering mirrors evolution :: OH1_PAA_TILT,Fast steering mirrors evolution :: OH1_TS_BEAM_INCIDENCE_X,Fast steering mirrors evolution :: OH1_TS_BEAM_INCIDENCE_Y,Mean power per quadrant :: OH1_TS_QUAD_A,Mean power per quadrant :: OH1_TS_QUAD_B,Mean power per quadrant :: OH1_TS_QUAD_C,Mean power per quadrant :: OH1_TS_QUAD_D,Mean power per quadrant :: OH1_TS_QUAD_E,Mean power per quadrant :: OH1_TS_QUAD_F,Mean power per quadrant :: OH1_TS_QUAD_G,Mean power per quadrant :: OH1_TS_QUAD_H,Fine Pointing Assembly movement :: OH1_FPA_TIP,Fine Pointing Assembly movement :: OH1_FPA_TILT,Point Ahead Assembly movement :: OH1_PAA_TIP,Point Ahead Assembly movement :: OH1_PAA_TILT,Tracking sensor beam incidence estimation :: OH1_TS_BEAM_INCIDENCE_X,Tracking sensor beam incidence estimation :: OH1_TS_BEAM_INCIDENCE_Y,LOS actual - predicted evolution :: OH1_LOS_AZ_EL_p0,LOS actual - predicted evolution :: OH1_LOS_AZ_EL_p1,LOS actual - predicted evolution :: OH1_PRED_AZ_EL_p0,LOS actual - predicted evolution :: OH1_PRED_AZ_EL_p1,Coarse Pointing Assembly motion :: OH1_AZIMUTH,Coarse Pointing Assembly motion :: OH1_ELEVATION,EDFA Power reports :: OH1_EDFA_BOOSTER_IN,EDFA Power reports :: OH1_EDFA_BOOSTER_OUT,EDFA Power reports :: OH1_EDFA_PREAMP_OUT,LET counters  :: TOTAL_FRAME_COUNTER,LET counters  :: CRC_ERRORS,LET counters  :: SYNC_LOSS,LET counters  :: FR_PACKETS,LET counters  :: DF_PACKETS,LET counters  :: FR_DATA_FRAMES,LET counters  :: DF_DATA_FRAME,LET counters  :: FR_IDLE_FRAMES,LET counters  :: DF_IDLE_FRAME,Fast Control Channel (FCCH) from counter Terminal :: FSO1_LAPC_RPT_PL_BLER,Fast Control Channel (FCCH) from counter Terminal :: OH1_LAPC_RPT_PIF_MEAN,Fast Control Channel (FCCH) from counter Terminal :: OH1_LAPC_RPT_PIF_SDEV,Fast Control Channel (FCCH) from counter Terminal :: FSO1_LAPC_RPT_FS_LOSS,Fast Control Channel (FCCH) from counter Terminal :: OH1_LAPC_RPT_RSSI_FAST,Bus body rate :: bus_body_rate_rad_per_s_x,Bus body rate :: bus_body_rate_rad_per_s_y,Bus body rate :: bus_body_rate_rad_per_s_z,Quaternions ECI to body :: bus_quat_eci_to_body_scalar,Quaternions ECI to body :: bus_quat_eci_to_body_x,Quaternions ECI to body :: bus_quat_eci_to_body_y,Quaternions ECI to body :: bus_quat_eci_to_body_z,ECEF position :: bus_pos_ecef_m_x,ECEF position :: bus_pos_ecef_m_y,ECEF position :: bus_pos_ecef_m_z,GPS time :: bus_gps_time_weeks,GPS time :: bus_gps_time_time_of_week_ms,Mynaric commanding :: mynaric_commands_queued,Mynaric commanding :: mynaric_commands_removed,Mynaric commanding :: mynaric_commands_sent,Terminal power consumption :: mynaric_power_current_i,Terminal power consumption :: mynaric_power_voltage_v,Terminal temps :: mynaric_thermal_occ_temp_C,Terminal temps :: mynaric_thermal_oh_temp_C,CPA Header time - SES received time :: sequence,CPA Header time - SES received time :: received_time
2026-09-02 13:19:53.727000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 13:19:53.828000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364.0,0.0,5112.0,2.08772,28.734953,,,,
2026-09-02 13:19:53.830000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.2377,-1003.2506,7332.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002838646,0.00032417834,-0.00085460866,0.8467773,0.418191,-0.092506446,0.3154791,6531059.006952053,2198671.5958174183,-1390693.6313894468,2434.0,307211753.0,,,,,,,,,
2026-09-02 13:19:54.727000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 13:19:54.828000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364.0,0.0,5112.0,2.0869598,28.742842,,,,
2026-09-02 13:19:54.830000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.6232,-1006.03394,7333.8784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028315498,0.00032574427,-0.0008570014,0.8475097,0.4170108,-0.0926499,0.31503218,6532906.520135324,2197666.9077566797,-1383360.162613444,2434.0,307212754.0,,,,,,,,,
2026-09-02 13:19:55.125000+00:00,,,,,,,,,,,,,,,,,,,,,,,1553.33,1536.61,0.0,9216.0,Reserved,Manchester,2500.0,Disabled,Disabled,0.0,-94.99805450439453,0.0,0.00011459155211923644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-94.99805450439453,-10.0,16.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12878.0,1788356655.977894
2026-09-02 13:19:55.727000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 13:19:55.828000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364.0,0.0,5112.0,2.08886,28.738897,,,,
2026-09-02 13:19:55.830000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836.0065,-1008.81494,7335.4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028256313,0.00032240542,-0.000857325,0.8482382,0.41582695,-0.0927803,0.3145976,6534746.292873638,2196659.49235777,-1376025.5677166476,2434.0,307213753.0,,,,,,,,,
2026-09-02 13:19:56.727000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 13:19:56.828000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364.0,0.0,5112.0,2.0941799,28.734953,,,,
2026-09-02 13:19:56.830000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.3868,-1011.5935,7337.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028165672,0.0003179575,-0.000859406,0.8489712,0.41462505,-0.09289666,0.31417227,6536578.484389953,2195649.2779522557,-1368689.266481393,2434.0,307214750.0,,,,,,,,,
2026-09-02 13:19:57.727000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 13:19:57.828000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364.0,0.0,5112.0,2.0881,28.742842,20.7117,8.479965,,
2026-09-02 13:19:57.830000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820.7654,-1014.36957,7338.6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028104014,0.00031499806,-0.00085960235,0.8496984,0.4134262,-0.09302334,0.31374833,6538403.002189408,2194636.320110456,-1361351.6291250263,2434.0,307215749.0,,,,,,,,,
2026-09-02 13:19:58.727000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
