OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2026-05-10T08:04:42.964032,14.08074411,.0136117,99.3626,150.6397,99.0154,278.3574,0,U,81011,999,442,.11689E-2,.2121E-4,0
UNKNOWN,,2026-05-10T13:43:42.902976,14.08059996,.0136266,99.3621,150.8830,98.3958,29.4103,0,U,81015,999,361,.11573E-2,.2099E-4,0
UNKNOWN,,2026-05-10T03:01:35.385600,9.33050026,.257675,66.1074,268.1003,129.4679,256.4081,0,U,81036,999,3556,.67372E-2,.2907E-4,0
UNKNOWN,,2026-05-09T03:26:30.709536,13.84755972,.0558402,65.7717,16.3742,236.8818,117.7480,0,U,81052,999,62071,.42265E-3,.1533E-4,0
UNKNOWN,,2026-05-10T11:21:38.420640,13.61590539,.0069875,100.3838,45.7280,37.1611,323.4335,0,U,81069,999,53616,.34042E-2,.26E-4,0
UNKNOWN,,2026-05-10T09:58:02.128224,7.59825727,.3845232,62.8641,238.8233,3.1636,358.7357,0,U,81111,999,28321,.12305E-2,.6538E-4,0
UNKNOWN,,2026-05-05T16:54:47.758752,13.81947787,.0004117,99.9632,220.3412,83.4492,276.7128,0,U,81123,999,62616,.10541E-2,.1082E-4,0
UNKNOWN,,2026-05-08T21:22:13.685952,12.93037525,.0026537,90.2537,7.3920,7.5090,352.6420,0,U,81134,999,48162,.80352E-3,.227E-5,0
UNKNOWN,,2026-05-09T15:10:11.005248,13.81950637,.0022923,82.9248,255.0245,156.2413,203.9811,0,U,81219,999,62794,.37336E-3,.417E-5,0
UNKNOWN,,2026-05-07T18:41:44.651328,14.42631892,.0058761,70.5256,308.4611,146.6891,213.7963,0,U,81228,999,64714,.99172E-3,.3313E-4,0
UNKNOWN,,2026-05-08T10:58:08.480640,14.02682301,.0071609,100.3768,215.7250,46.0591,314.6449,0,U,81254,999,63345,.20502E-2,.3183E-4,0
UNKNOWN,,2026-05-10T08:46:52.362048,14.20325768,.0205103,98.1052,182.7304,309.5074,48.8126,0,U,81279,999,48369,.2181E-3,.533E-5,0
UNKNOWN,,2026-05-03T23:05:46.745376,13.76800103,.0084025,66.7586,316.1589,137.4873,11.9471,0,U,81301,999,62593,.25563E-3,.184E-5,0
UNKNOWN,,2026-05-04T03:23:06.495360,14.56769262,.0131733,98.7082,192.9757,49.6347,336.2031,0,U,81311,999,66032,.12424E-3,.568E-5,0
UNKNOWN,,2026-05-08T05:41:49.624224,13.38076295,.0218483,67.1377,214.0276,292.6742,95.7740,0,U,81317,999,60823,.38025E-3,.166E-5,0
UNKNOWN,,2026-05-03T08:29:09.678336,14.51577889,.0329959,65.7507,350.9038,239.3398,117.4798,0,U,81323,999,13358,.98596E-3,.7975E-4,0
UNKNOWN,,2026-05-04T09:09:10.285056,13.22868848,.0838822,65.8147,163.6450,325.4707,29.4454,0,U,81329,999,59694,.4901E-3,.1364E-4,0
UNKNOWN,,2026-05-09T23:31:31.730304,15.05923520,.001051,85.8704,119.9970,79.1169,281.1248,0,U,81343,999,47661,.33818E-3,.4954E-4,0
UNKNOWN,,2026-05-10T05:13:16.670784,13.79083549,.0118257,66.7992,56.5353,227.4212,131.6836,0,U,81359,999,62595,.52443E-3,.491E-5,0
UNKNOWN,,2026-05-05T08:02:26.621376,13.45516289,.071655,65.8806,92.0878,11.7901,349.8966,0,U,81366,999,8527,.966E-3,.2765E-4,0
UNKNOWN,,2026-05-09T01:00:48.519936,14.71525910,.0067442,98.8159,242.4373,264.9691,94.3813,0,U,81371,999,66349,.32781E-3,.2046E-4,0
UNKNOWN,,2026-05-10T10:40:17.686560,14.37902113,.008895,71.0475,33.4450,209.5492,150.0601,0,U,81386,999,64560,.79244E-3,.2455E-4,0
UNKNOWN,,2026-05-03T15:57:04.578048,12.35590233,.0169426,103.1040,26.8156,257.9785,100.2238,0,U,81390,999,51762,-.14525E-2,-.244E-5,0
UNKNOWN,,2026-05-08T19:23:20.100192,13.82658010,.0039875,100.4034,137.0823,25.4184,153.0691,0,U,81392,999,62249,.23218E-2,.2486E-4,0
UNKNOWN,,2026-05-02T20:54:05.158656,13.89307835,.0160123,99.4527,178.2520,205.6018,153.7147,0,U,81405,999,58139,.10789E-2,.141E-4,0
UNKNOWN,,2026-04-23T12:44:36.521664,13.12649658,.0867559,65.8126,218.0116,261.6842,88.5033,0,U,81406,999,55097,.36449E-3,.862E-5,0
UNKNOWN,,2026-05-09T14:56:08.740032,14.07185909,.0084331,98.7339,11.9193,342.6088,17.2197,0,U,81427,999,57256,.29604E-3,.469E-5,0
UNKNOWN,,2026-05-05T03:06:53.972640,13.55504063,.0054426,100.3330,8.2203,77.3158,283.4054,0,U,81438,999,61136,.37932E-2,.2611E-4,0
UNKNOWN,,2026-05-10T11:35:25.497600,12.62691790,.0593751,67.1607,214.1937,111.4254,255.1148,0,U,81439,999,28067,-.50127E-3,-.23E-5,0
UNKNOWN,,2026-05-05T10:46:32.605536,15.43142664,.0019382,66.7847,282.2958,305.2032,54.7309,0,U,81449,999,65534,.11567E-1,.555906E-2,0
UNKNOWN,,2026-05-05T06:02:59.541792,14.29532782,.0143241,98.9520,45.9717,302.3508,211.9144,0,U,81478,999,64343,.15681E-2,.4431E-4,0
UNKNOWN,,2026-05-10T11:06:12.869280,13.56601637,.0044587,99.9831,10.2209,352.0492,183.9057,0,U,81488,999,61679,.51234E-3,.318E-5,0
UNKNOWN,,2026-05-10T00:40:06.773088,13.85301757,.0028927,100.2979,43.9527,355.5618,21.2173,0,U,81497,999,23682,.23304E-2,.2606E-4,0
UNKNOWN,,2026-05-10T05:13:46.667136,14.47987970,.0001664,74.0473,303.5435,51.0530,309.0777,0,U,81499,999,50390,.38724E-3,.1411E-4,0
UNKNOWN,,2026-05-10T00:06:26.302176,14.13796832,.0235576,98.1847,205.0084,79.6103,283.1531,0,U,81535,999,40834,.26161E-3,.607E-5,0
UNKNOWN,,2026-05-10T14:32:52.287936,12.56058359,.0030996,101.9666,358.4985,5.5988,19.6706,0,U,81536,999,57050,.27616E-2,.409E-5,0
UNKNOWN,,2026-05-09T19:47:53.429280,14.07193299,.0079269,71.0374,162.8540,288.5376,70.7142,0,U,81537,999,64129,.15129E-3,.214E-5,0
UNKNOWN,,2026-05-08T17:03:58.522464,13.18426083,.0257668,99.0700,40.2092,25.5046,335.8532,0,U,81552,999,59861,.16753E-2,.746E-5,0
UNKNOWN,,2026-05-09T19:29:48.070752,13.31628051,.0249366,67.2960,320.6115,337.4684,42.2050,0,U,81599,999,60479,.22802E-3,.67E-6,0
UNKNOWN,,2026-05-10T10:26:10.474080,12.81449171,.0145092,56.4342,152.3483,341.7183,17.8560,0,U,81605,999,20526,.43601E-2,.956E-5,0
UNKNOWN,,2026-05-10T10:53:05.528544,12.38795053,.0322213,101.8594,127.0219,222.5351,135.0337,0,U,81614,999,55638,.22389E-1,.3478E-4,0
UNKNOWN,,2026-05-10T04:58:00.892128,13.34702391,.0766119,65.8274,76.0051,66.9776,301.0171,0,U,81615,999,60267,.70393E-3,.1904E-4,0
UNKNOWN,,2026-05-07T22:12:33.389280,12.57653540,.0031133,101.2747,301.0884,306.5178,53.3032,0,U,81617,999,57148,.21304E-2,.316E-5,0
UNKNOWN,,2026-05-03T07:08:03.403104,14.73000409,.0056549,66.9737,135.1417,118.3383,242.3459,0,U,81624,999,66054,.69513E-3,.448E-4,0
UNKNOWN,,2026-05-10T10:40:17.153472,12.57326779,.0982862,65.8225,187.9001,16.9642,346.1891,0,U,81640,999,52877,.42193E-4,-.13E-6,0
UNKNOWN,,2026-05-05T17:34:51.760992,13.44583721,.0365666,102.1437,49.0755,37.5780,352.6040,0,U,81652,999,59800,.85654E-3,.688E-5,0
UNKNOWN,,2026-05-10T05:21:32.012352,14.48837321,.0013991,74.0377,118.4923,7.0591,353.0763,0,U,81667,999,47814,.39336E-3,.1461E-4,0
UNKNOWN,,2026-05-09T09:31:25.067424,14.10284050,.0019833,66.8235,352.3447,122.6898,54.7217,0,U,81674,999,63453,.57729E-3,.946E-5,0
UNKNOWN,,2026-05-09T23:41:33.189216,14.58436417,.0023186,81.2135,138.9042,198.3447,161.6917,0,U,81683,999,65746,.35119E-3,.1649E-4,0
UNKNOWN,,2026-05-07T14:24:17.159040,12.26241170,.0394273,101.1033,178.1474,167.3510,193.7794,0,U,81693,999,98564,.7571E-2,.1055E-4,0
UNKNOWN,,2026-05-10T12:03:20.830752,14.41115768,.0005664,71.0006,61.6838,321.0327,39.0400,0,U,81745,999,65117,.41736E-3,.1295E-4,0
UNKNOWN,,2026-05-10T12:44:51.283104,12.77656631,.0367374,99.6689,144.0744,244.4407,273.0189,0,U,81749,999,58100,.4575E-3,.96E-6,0
UNKNOWN,,2026-05-09T16:12:58.987872,14.42919154,.0017514,82.9174,101.4650,134.5351,225.7277,0,U,81775,999,64659,.12465E-2,.419E-4,0
UNKNOWN,,2026-05-04T09:03:18.792576,9.34410798,.1480664,54.4431,357.1296,173.8961,188.2239,0,U,81779,999,49364,.88877E+0,.14142E-3,0
UNKNOWN,,2026-05-10T09:09:25.939872,13.11491350,.0894125,65.8143,121.6764,216.8933,136.7285,0,U,81792,999,9952,-.18648E-3,-.636E-5,0
UNKNOWN,,2026-05-10T01:58:02.907840,12.38886044,.0328919,103.7843,65.8689,352.0631,7.5300,0,U,81812,999,55892,.64125E-2,.963E-5,0
UNKNOWN,,2026-05-10T13:35:32.454240,13.89899450,.0168402,66.2375,284.9492,161.1269,199.6151,0,U,81816,999,63002,.90015E-3,.1163E-4,0
UNKNOWN,,2026-05-09T11:59:33.228960,12.47935856,.0038731,102.1740,233.7514,194.4227,165.5737,0,U,81819,999,56644,.28981E-2,.383E-5,0
UNKNOWN,,2026-05-10T10:14:36.615552,14.37018805,.0047234,65.8417,290.7574,264.0061,95.5649,0,U,81824,999,64594,.92843E-3,.2701E-4,0
UNKNOWN,,2026-05-10T14:32:53.027520,12.93794612,.0027686,90.2459,6.2137,359.4605,0.6479,0,U,81833,999,47176,-.28265E-3,-.71E-6,0
UNKNOWN,,2026-05-09T17:23:06.211680,14.58976353,.0042845,67.7599,238.7670,232.1944,276.1710,0,U,81838,999,65490,.83134E-3,.3869E-4,0
UNKNOWN,,2026-05-05T12:45:02.194560,14.34675396,.0061934,82.9097,164.5806,73.0604,287.7362,0,U,81844,999,64349,.1672E-2,.4851E-4,0
UNKNOWN,,2026-05-10T06:44:34.727136,14.86017568,.0086568,97.6783,317.0650,174.9647,3.6973,0,U,81845,999,67157,.20081E-3,.1821E-4,0
UNKNOWN,,2026-05-07T03:37:37.572384,13.32917855,.0771235,65.6745,86.7821,310.5939,43.0393,0,U,81864,999,57021,.53817E-3,.1397E-4,0
UNKNOWN,,2026-05-10T09:20:02.254272,13.88415625,.006058,82.8024,273.8724,301.1078,87.3611,0,U,81865,999,62917,.861E-3,.1062E-4,0
UNKNOWN,,2026-05-09T17:47:17.114784,13.77036991,.0018776,100.0579,126.3598,247.4068,112.5094,0,U,81893,999,62444,.80121E-3,.743E-5,0
UNKNOWN,,2026-05-09T07:33:13.471200,13.20751742,.0175809,102.4137,262.7511,259.2824,98.8446,0,U,81899,999,59846,.47438E-2,.2033E-4,0
UNKNOWN,,2026-05-10T03:01:10.269984,13.15621287,.0844389,65.7069,76.1898,50.2778,316.9633,0,U,81921,999,4530,.63443E-3,.1512E-4,0
UNKNOWN,,2026-05-08T12:59:51.357696,12.42680336,.0679141,66.4141,230.1972,280.7336,90.6126,0,U,81946,999,56612,.20133E-2,.573E-5,0
UNKNOWN,,2026-05-09T05:26:09.518784,14.54332746,.0368164,66.0728,116.1695,49.6796,313.5864,0,U,81947,999,65245,.50682E-3,.5271E-4,0
UNKNOWN,,2026-05-09T01:24:25.155072,13.95894393,.0038575,66.5848,252.8869,338.2942,21.6501,0,U,81964,999,63460,.17431E-3,.161E-5,0
UNKNOWN,,2026-05-10T07:22:15.794400,15.14540052,.0004671,86.6820,88.7299,30.3618,329.7892,0,U,81969,999,46263,.32597E-3,.6038E-4,0
UNKNOWN,,2026-04-26T18:24:23.096736,14.05618302,.0512931,65.7446,130.2074,230.7180,124.7341,0,U,81995,999,62319,.85414E-3,.4566E-4,0
UNKNOWN,,2026-05-09T04:33:22.920768,14.33425142,.0228575,97.9492,270.7635,0.1457,359.9757,0,U,82043,999,59496,.26094E-3,.918E-5,0
UNKNOWN,,2026-05-05T11:47:09.531456,14.37643611,.009147,98.7399,218.2451,193.3523,166.5241,0,U,82051,999,59305,.18298E-2,.5724E-4,0
UNKNOWN,,2026-05-09T23:04:25.691808,14.39714264,.0205196,97.7324,196.9242,194.4046,165.1241,0,U,82073,999,59644,.43265E-3,.1691E-4,0
UNKNOWN,,2026-05-07T15:29:24.104832,14.16190326,.0079896,99.0087,202.2432,349.8783,10.0778,0,U,82139,999,50076,.94082E-3,.1875E-4,0
UNKNOWN,,2026-05-09T15:14:29.587488,13.54755460,.0043735,100.4663,67.6903,234.1917,125.5149,0,U,82162,999,52432,.39131E-2,.2651E-4,0
UNKNOWN,,2026-05-09T16:32:21.274368,14.56601359,.0284166,65.6522,228.2464,140.3119,221.9165,0,U,82180,999,62325,.14439E-2,.11113E-3,0
UNKNOWN,,2026-05-08T07:08:40.804800,14.35317456,.0017656,74.0325,139.5686,293.3138,66.6156,0,U,82189,999,65344,.77559E-4,.196E-5,0
UNKNOWN,,2026-05-09T05:53:44.356992,13.85948175,.0036613,82.9636,122.9906,340.9466,36.7504,0,U,82199,999,63012,.40101E-3,.478E-5,0
UNKNOWN,,2026-05-05T14:08:50.003232,13.94196406,.0499104,63.0061,196.6302,307.7675,47.9138,0,U,82205,999,62805,.48571E-3,.1709E-4,0
UNKNOWN,,2026-05-07T12:05:56.408640,14.12621320,.0067635,99.3113,24.1469,299.8180,59.6278,0,U,82223,999,46936,.98819E-3,.1822E-4,0
UNKNOWN,,2026-05-10T05:31:22.331712,14.14968680,.0070597,98.9053,40.2932,128.4352,23.8831,0,U,82250,999,63762,.10227E-2,.1983E-4,0
UNKNOWN,,2026-05-06T21:57:38.192832,12.33690175,.0755606,67.5247,297.7991,13.0469,348.8936,0,U,82272,999,28984,-.34912E-3,-.16E-5,0
UNKNOWN,,2026-05-10T00:27:52.054272,13.95442133,.0074359,81.9055,234.1553,219.0357,266.5005,0,U,82303,999,53504,.16999E-1,.2366E-3,0
UNKNOWN,,2026-05-10T13:57:51.782112,13.54738420,.0106418,99.4163,182.5702,291.4072,67.5740,0,U,82311,999,57047,.78928E-3,.518E-5,0
UNKNOWN,,2026-05-09T07:24:34.745472,13.15744310,.0450672,66.9373,237.9662,70.5422,294.3731,0,U,82363,999,30967,.18922E-3,.59E-6,0
UNKNOWN,,2026-05-10T07:16:16.088736,13.98254563,.0082147,98.8894,145.8655,288.2425,70.9811,0,U,82369,999,57793,.58618E-4,.43E-6,0
UNKNOWN,,2026-05-10T14:49:55.294176,14.88650648,.0009241,98.3869,8.2346,32.2866,327.8913,0,U,82381,999,53290,.13751E-2,.12792E-3,0
UNKNOWN,,2026-05-10T08:18:56.659104,15.05551009,.0007975,86.6571,91.2609,9.0779,351.0599,0,U,82402,999,47681,.2325E-3,.3379E-4,0
UNKNOWN,,2026-05-10T12:48:15.875712,14.59141137,.0056313,74.0068,56.6404,185.0482,175.0124,0,U,82432,999,50460,.19851E-3,.924E-5,0
UNKNOWN,,2026-05-10T05:46:25.286880,15.05774150,.0011185,85.8684,119.8528,78.5137,281.7353,0,U,82448,999,45937,.30443E-3,.4446E-4,0
UNKNOWN,,2026-05-09T08:25:22.303776,12.39716587,.0093359,102.2008,90.7646,295.3840,63.7581,0,U,82453,999,56435,.36935E-3,.4E-7,0
UNKNOWN,,2026-05-03T09:56:06.854208,14.23989453,.0062918,66.5151,174.0502,277.8082,81.5872,0,U,82458,999,63020,.89588E-3,.2017E-4,0
UNKNOWN,,2026-05-09T23:52:09.657408,13.55857420,.0044933,99.3433,148.9459,176.7567,183.3871,0,U,82484,999,61072,.14926E-3,.63E-6,0
UNKNOWN,,2026-05-08T07:35:31.353504,14.92045997,.0009619,74.0042,88.3718,209.6320,150.4319,0,U,82494,999,10678,.13875E-2,.14087E-3,0
UNKNOWN,,2026-05-10T01:38:15.396000,14.19619566,.0120606,70.9671,49.6050,248.3659,110.4584,0,U,82500,999,63999,.7709E-3,.1703E-4,0
UNKNOWN,,2026-05-10T01:18:49.330368,14.36585864,.0131589,73.2799,256.9056,18.9535,95.6697,0,U,82524,999,59832,.95931E-3,.3082E-4,0
