t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1462018815.353031,4108572.661867,-2213768.487380,4332967.079369,161.440185,298.788667,-0.424604
1462018905.353031,4123013.935437,-2186830.022692,4332929.088329,159.475808,299.841745,-0.419589
1462018995.353031,4137278.105298,-2159797.361825,4332891.549499,157.504562,300.881908,-0.414555
1462019085.353031,4151364.557069,-2132671.669116,4332854.464496,155.526531,301.909112,-0.409504
1462019175.353031,4165272.684025,-2105454.112911,4332817.834918,153.541802,302.923312,-0.404435
1462019265.353031,4179001.887122,-2078145.865512,4332781.662343,151.550460,303.924465,-0.399348
1462019355.353031,4192551.575022,-2050748.103127,4332745.948328,149.552590,304.912527,-0.394244
1462019445.353031,4205921.164118,-2023262.005822,4332710.694412,147.548278,305.887456,-0.389124
1462019535.353031,4219110.078561,-1995688.757465,4332675.902114,145.537612,306.849210,-0.383986
1462019625.353031,4232117.750286,-1968029.545678,4332641.572932,143.520677,307.797747,-0.378832
1462019715.353031,4244943.619032,-1940285.561786,4332607.708345,141.497560,308.733028,-0.373662
1462019805.353031,4257587.132367,-1912458.000766,4332574.309813,139.468349,309.655010,-0.368475
1462019895.353031,4270047.745718,-1884548.061194,4332541.378773,137.433131,310.563655,-0.363273
1462019985.353031,4282324.922386,-1856556.945194,4332508.916645,135.391993,311.458924,-0.358055
1462020075.353031,4294418.133574,-1828485.858388,4332476.924826,133.345024,312.340778,-0.352822
1462020165.353031,4306326.858409,-1800336.009840,4332445.404696,131.292311,313.209179,-0.347573
1462020255.353031,4318050.583963,-1772108.612008,4332414.357611,129.233943,314.064089,-0.342310
1462020345.353031,4329588.805278,-1743804.880689,4332383.784908,127.170009,314.905473,-0.337031
1462020435.353031,4340941.025385,-1715426.034970,4332353.687906,125.100598,315.733292,-0.331738
1462020525.353031,4352106.755327,-1686973.297172,4332324.067901,123.025798,316.547513,-0.326431
1462020615.353031,4363085.514177,-1658447.892797,4332294.926168,120.945700,317.348099,-0.321110
1462020705.353031,4373876.829064,-1629851.050479,4332266.263963,118.860392,318.135017,-0.315775
1462020795.353031,4384480.235190,-1601184.001929,4332238.082521,116.769964,318.908232,-0.310427
1462020885.353031,4394895.275849,-1572447.981880,4332210.383055,114.674508,319.667711,-0.305065
1462020975.353031,4405121.502449,-1543644.228038,4332183.166759,112.574112,320.413422,-0.299689
1462021065.353031,4415158.474531,-1514773.981025,4332156.434806,110.468867,321.145332,-0.294301
