t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1459677225.985957,-5899980.385573,-858672.554622,2260621.929059,62.620932,-430.654557,-0.145527
1459677315.985957,-5894217.356668,-897412.692796,2260608.507353,65.445898,-430.234309,-0.152784
1459677405.985957,-5888200.206745,-936114.174644,2260594.432814,68.268045,-429.795531,-0.160034
1459677495.985957,-5881929.194973,-974775.333234,2260579.706047,71.087252,-429.338240,-0.167278
1459677585.985957,-5875404.591454,-1013394.503368,2260564.327687,73.903397,-428.862457,-0.174514
1459677675.985957,-5868626.677213,-1051970.021659,2260548.298396,76.716359,-428.368203,-0.181742
1459677765.985957,-5861595.744185,-1090500.226601,2260531.618865,79.526016,-427.855498,-0.188963
1459677855.985957,-5854312.095203,-1128983.458637,2260514.289810,82.332249,-427.324364,-0.196176
1459677945.985957,-5846776.043985,-1167418.060235,2260496.311979,85.134935,-426.774825,-0.203380
1459678035.985957,-5838987.915121,-1205802.375958,2260477.686146,87.933954,-426.206904,-0.210576
1459678125.985957,-5830948.044056,-1244134.752533,2260458.413112,90.729186,-425.620626,-0.217762
1459678215.985957,-5822656.777082,-1282413.538925,2260438.493708,93.520510,-425.016016,-0.224940
1459678305.985957,-5814114.471315,-1320637.086408,2260417.928791,96.307806,-424.393099,-0.232107
1459678395.985957,-5805321.494686,-1358803.748634,2260396.719248,99.090953,-423.751903,-0.239264
1459678485.985957,-5796278.225922,-1396911.881706,2260374.865990,101.869833,-423.092456,-0.246412
1459678575.985957,-5786985.054531,-1434959.844249,2260352.369961,104.644325,-422.414785,-0.253548
1459678665.985957,-5777442.380783,-1472945.997476,2260329.232127,107.414310,-421.718921,-0.260674
1459678755.985957,-5767650.615696,-1510868.705266,2260305.453486,110.179668,-421.004892,-0.267788
1459678845.985957,-5757610.181018,-1548726.334229,2260281.035061,112.940281,-420.272730,-0.274891
1459678935.985957,-5747321.509205,-1586517.253778,2260255.977905,115.696029,-419.522466,-0.281982
1459679025.985957,-5736785.043405,-1624239.836199,2260230.283095,118.446795,-418.754132,-0.289061
1459679115.985957,-5726001.237441,-1661892.456724,2260203.951740,121.192458,-417.967762,-0.296127
1459679205.985957,-5714970.555789,-1699473.493594,2260176.984972,123.932901,-417.163390,-0.303181
1459679295.985957,-5703693.473555,-1736981.328136,2260149.383953,126.668007,-416.341050,-0.310221
1459679385.985957,-5692170.476463,-1774414.344831,2260121.149871,129.397656,-415.500777,-0.317249
1459679475.985957,-5680402.060825,-1811770.931379,2260092.283943,132.121733,-414.642608,-0.324262
1459679565.985957,-5668388.733525,-1849049.478775,2260062.787412,134.840118,-413.766580,-0.331262
1459679655.985957,-5656131.011995,-1886248.381374,2260032.661548,137.552696,-412.872730,-0.338247
1459679745.985957,-5643629.424195,-1923366.036962,2260001.907648,140.259349,-411.961097,-0.345218
1459679835.985957,-5630884.508588,-1960400.846824,2259970.527036,142.959961,-411.031721,-0.352174
1459679925.985957,-5617896.814116,-1997351.215812,2259938.521065,145.654416,-410.084640,-0.359115
1459680015.985957,-5604666.900179,-2034215.552418,2259905.891113,148.342597,-409.119897,-0.366040
