t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1461489059.934000,4252628.615891,453468.281074,4716584.639100,-33.055674,309.222048,0.074442
1461489064.934000,4252463.055684,455014.361078,4716585.012027,-33.168415,309.209975,0.074732
1461489069.934000,4252296.931781,456560.380615,4716585.386405,-33.281152,309.197861,0.075022
1461489074.934000,4252130.244203,458106.339480,4716585.762232,-33.393885,309.185706,0.075312
1461489079.934000,4251962.992972,459652.237466,4716586.139510,-33.506613,309.173510,0.075602
1461489084.934000,4251795.178111,461198.074368,4716586.518238,-33.619337,309.161273,0.075892
1461489089.934000,4251626.799642,462743.849982,4716586.898415,-33.732057,309.148994,0.076182
1461489094.934000,4251457.857587,464289.564100,4716587.280042,-33.844772,309.136675,0.076472
1461489099.934000,4251288.351969,465835.216519,4716587.663119,-33.957482,309.124314,0.076762
1461489104.934000,4251118.282811,467380.807032,4716588.047646,-34.070188,309.111913,0.077052
1461489109.934000,4250947.650134,468926.335433,4716588.433623,-34.182889,309.099470,0.077342
1461489114.934000,4250776.453962,470471.801519,4716588.821049,-34.295586,309.086986,0.077632
1461489119.934000,4250604.694318,472017.205082,4716589.209925,-34.408278,309.074461,0.077922
1461489124.934000,4250432.371223,473562.545918,4716589.600250,-34.520966,309.061895,0.078212
1461489129.934000,4250259.484702,475107.823821,4716589.992025,-34.633649,309.049288,0.078502
1461489134.934000,4250086.034777,476653.038585,4716590.385249,-34.746327,309.036640,0.078792
1461489139.934000,4249912.021471,478198.190006,4716590.779923,-34.859001,309.023951,0.079081
1461489144.934000,4249737.444808,479743.277878,4716591.176046,-34.971671,309.011220,0.079371
1461489149.934000,4249562.304810,481288.301995,4716591.573618,-35.084335,308.998449,0.079661
1461489154.934000,4249386.601501,482833.262153,4716591.972640,-35.196995,308.985636,0.079951
1461489159.934000,4249210.334904,484378.158145,4716592.373111,-35.309650,308.972783,0.080241
1461489164.934000,4249033.505043,485922.989766,4716592.775031,-35.422301,308.959888,0.080531
1461489169.934000,4248856.111940,487467.756811,4716593.178400,-35.534947,308.946952,0.080820
1461489174.934000,4248678.155621,489012.459075,4716593.583217,-35.647588,308.933975,0.081110
1461489179.934000,4248499.636107,490557.096352,4716593.989484,-35.760224,308.920958,0.081400
1461489184.934000,4248320.553424,492101.668438,4716594.397200,-35.872856,308.907899,0.081690
1461489189.934000,4248140.907595,493646.175125,4716594.806365,-35.985482,308.894799,0.081980
1461489194.934000,4247960.698644,495190.616210,4716595.216978,-36.098105,308.881657,0.082269
1461489199.934000,4247779.926594,496734.991487,4716595.629041,-36.210722,308.868475,0.082559
1461489204.934000,4247598.591470,498279.300751,4716596.042552,-36.323334,308.855252,0.082849
1461489209.934000,4247416.693296,499823.543796,4716596.457511,-36.435942,308.841988,0.083138
1461489214.934000,4247234.232096,501367.720417,4716596.873920,-36.548545,308.828683,0.083428
1461489219.934000,4247051.207894,502911.830408,4716597.291776,-36.661143,308.815336,0.083718
1461489224.934000,4246867.620715,504455.873566,4716597.711081,-36.773736,308.801949,0.084008
1461489229.934000,4246683.470582,505999.849683,4716598.131835,-36.886324,308.788520,0.084297
1461489234.934000,4246498.757522,507543.758556,4716598.554037,-36.998907,308.775051,0.084587
1461489239.934000,4246313.481557,509087.599978,4716598.977687,-37.111485,308.761540,0.084877
1461489244.934000,4246127.642713,510631.373745,4716599.402786,-37.224059,308.747989,0.085166
1461489249.934000,4245941.241015,512175.079651,4716599.829333,-37.336627,308.734396,0.085456
1461489254.934000,4245754.276487,513718.717491,4716600.257327,-37.449191,308.720762,0.085745
1461489259.934000,4245566.749154,515262.287060,4716600.686770,-37.561749,308.707087,0.086035
1461489264.934000,4245378.659040,516805.788152,4716601.117661,-37.674303,308.693372,0.086325
1461489269.934000,4245190.006172,518349.220564,4716601.550000,-37.786851,308.679615,0.086614
1461489274.934000,4245000.790574,519892.584088,4716601.983787,-37.899395,308.665817,0.086904
1461489279.934000,4244811.012271,521435.878521,4716602.419022,-38.011933,308.651978,0.087193
1461489284.934000,4244620.671288,522979.103656,4716602.855704,-38.124466,308.638098,0.087483
1461489289.934000,4244429.767651,524522.259290,4716603.293835,-38.236995,308.624177,0.087772
1461489294.934000,4244238.301386,526065.345216,4716603.733412,-38.349518,308.610215,0.088062
1461489299.934000,4244046.272517,527608.361229,4716604.174438,-38.462036,308.596212,0.088352
1461489304.934000,4243853.681070,529151.307126,4716604.616911,-38.574549,308.582168,0.088641
1461489309.934000,4243660.527070,530694.182699,4716605.060832,-38.687057,308.568083,0.088930
1461489314.934000,4243466.810544,532236.987744,4716605.506200,-38.799560,308.553957,0.089220
1461489319.934000,4243272.531518,533779.722057,4716605.953015,-38.912057,308.539790,0.089509
1461489324.934000,4243077.690016,535322.385432,4716606.401278,-39.024550,308.525582,0.089799
1461489329.934000,4242882.286065,536864.977663,4716606.850988,-39.137037,308.511333,0.090088
1461489334.934000,4242686.319690,538407.498547,4716607.302145,-39.249519,308.497043,0.090378
1461489339.934000,4242489.790919,539949.947877,4716607.754749,-39.361996,308.482712,0.090667
1461489344.934000,4242292.699777,541492.325449,4716608.208801,-39.474467,308.468339,0.090957
1461489349.934000,4242095.046290,543034.631058,4716608.664299,-39.586934,308.453926,0.091246
1461489354.934000,4241896.830484,544576.864498,4716609.121245,-39.699395,308.439472,0.091535
1461489359.934000,4241698.052387,546119.025565,4716609.579637,-39.811851,308.424977,0.091825
