t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1454837573.880000,1853947.026979,-3851152.273498,4718242.603586,280.841362,134.313862,-0.721004
1454837578.880000,1855351.111447,-3850480.448218,4718238.998816,280.792372,134.416250,-0.720883
1454837583.880000,1856754.950871,-3849808.111044,4718235.394654,280.743345,134.518620,-0.720761
1454837588.880000,1858158.545065,-3849135.262065,4718231.791099,280.694280,134.620972,-0.720640
1454837593.880000,1859561.893841,-3848461.901371,4718228.188153,280.645178,134.723306,-0.720518
1454837598.880000,1860964.997014,-3847788.029050,4718224.585816,280.596038,134.825622,-0.720396
1454837603.880000,1862367.854397,-3847113.645193,4718220.984088,280.546862,134.927921,-0.720274
1454837608.880000,1863770.465802,-3846438.749890,4718217.382970,280.497648,135.030201,-0.720152
1454837613.880000,1865172.831045,-3845763.343229,4718213.782462,280.448396,135.132463,-0.720030
1454837618.880000,1866574.949938,-3845087.425302,4718210.182565,280.399108,135.234708,-0.719908
1454837623.880000,1867976.822295,-3844410.996197,4718206.583279,280.349782,135.336934,-0.719785
1454837628.880000,1869378.447929,-3843734.056005,4718202.984605,280.300419,135.439143,-0.719663
1454837633.880000,1870779.826656,-3843056.604815,4718199.386543,280.251018,135.541333,-0.719541
1454837638.880000,1872180.958287,-3842378.642718,4718195.789094,280.201581,135.643506,-0.719418
1454837643.880000,1873581.842636,-3841700.169803,4718192.192258,280.152106,135.745660,-0.719295
1454837648.880000,1874982.479518,-3841021.186162,4718188.596036,280.102594,135.847796,-0.719173
1454837653.880000,1876382.868747,-3840341.691884,4718185.000428,280.053044,135.949915,-0.719050
1454837658.880000,1877783.010136,-3839661.687059,4718181.405434,280.003458,136.052015,-0.718927
1454837663.880000,1879182.903498,-3838981.171779,4718177.811056,279.953834,136.154097,-0.718804
1454837668.880000,1880582.548649,-3838300.146132,4718174.217293,279.904173,136.256161,-0.718680
1454837673.880000,1881981.945401,-3837618.610211,4718170.624146,279.854475,136.358207,-0.718557
1454837678.880000,1883381.093570,-3836936.564105,4718167.031616,279.804739,136.460235,-0.718434
1454837683.880000,1884779.992968,-3836254.007906,4718163.439702,279.754967,136.562245,-0.718310
1454837688.880000,1886178.643410,-3835570.941703,4718159.848406,279.705157,136.664236,-0.718187
1454837693.880000,1887577.044710,-3834887.365589,4718156.257728,279.655310,136.766210,-0.718063
1454837698.880000,1888975.196682,-3834203.279653,4718152.667669,279.605426,136.868165,-0.717939
1454837703.880000,1890373.099140,-3833518.683986,4718149.078228,279.555504,136.970102,-0.717816
1454837708.880000,1891770.751898,-3832833.578680,4718145.489407,279.505546,137.072021,-0.717692
1454837713.880000,1893168.154771,-3832147.963826,4718141.901206,279.455550,137.173921,-0.717568
1454837718.880000,1894565.307573,-3831461.839514,4718138.313625,279.405517,137.275803,-0.717443
1454837723.880000,1895962.210118,-3830775.205837,4718134.726665,279.355447,137.377668,-0.717319
1454837728.880000,1897358.862220,-3830088.062885,4718131.140326,279.305340,137.479513,-0.717195
1454837733.880000,1898755.263694,-3829400.410749,4718127.554609,279.255196,137.581341,-0.717071
1454837738.880000,1900151.414353,-3828712.249522,4718123.969514,279.205015,137.683150,-0.716946
1454837743.880000,1901547.314014,-3828023.579294,4718120.385042,279.154796,137.784941,-0.716821
1454837748.880000,1902942.962489,-3827334.400157,4718116.801193,279.104541,137.886714,-0.716697
1454837753.880000,1904338.359593,-3826644.712203,4718113.217967,279.054248,137.988468,-0.716572
1454837758.880000,1905733.505142,-3825954.515523,4718109.635366,279.003918,138.090204,-0.716447
1454837763.880000,1907128.398948,-3825263.810210,4718106.053390,278.953551,138.191921,-0.716322
1454837768.880000,1908523.040828,-3824572.596354,4718102.472038,278.903147,138.293621,-0.716197
1454837773.880000,1909917.430595,-3823880.874049,4718098.891313,278.852706,138.395302,-0.716072
1454837778.880000,1911311.568064,-3823188.643385,4718095.311213,278.802228,138.496964,-0.715947
1454837783.880000,1912705.453050,-3822495.904455,4718091.731740,278.751713,138.598608,-0.715821
1454837788.880000,1914099.085367,-3821802.657351,4718088.152893,278.701161,138.700234,-0.715696
1454837793.880000,1915492.464831,-3821108.902165,4718084.574675,278.650572,138.801841,-0.715570
1454837798.880000,1916885.591256,-3820414.638989,4718080.997084,278.599945,138.903429,-0.715445
1454837803.880000,1918278.464457,-3819719.867916,4718077.420121,278.549282,139.005000,-0.715319
1454837808.880000,1919671.084248,-3819024.589038,4718073.843788,278.498582,139.106551,-0.715193
1454837813.880000,1921063.450445,-3818328.802447,4718070.268084,278.447844,139.208085,-0.715067
1454837818.880000,1922455.562863,-3817632.508236,4718066.693010,278.397070,139.309600,-0.714941
1454837823.880000,1923847.421315,-3816935.706498,4718063.118566,278.346258,139.411096,-0.714815
1454837828.880000,1925239.025618,-3816238.397324,4718059.544753,278.295410,139.512573,-0.714689
1454837833.880000,1926630.375587,-3815540.580809,4718055.971571,278.244524,139.614033,-0.714562
1454837838.880000,1928021.471035,-3814842.257044,4718052.399021,278.193602,139.715473,-0.714436
1454837843.880000,1929412.311780,-3814143.426122,4718048.827103,278.142643,139.816895,-0.714309
1454837848.880000,1930802.897634,-3813444.088137,4718045.255818,278.091646,139.918299,-0.714183
1454837853.880000,1932193.228415,-3812744.243181,4718041.685166,278.040613,140.019684,-0.714056
1454837858.880000,1933583.303936,-3812043.891347,4718038.115148,277.989543,140.121050,-0.713929
1454837863.880000,1934973.124014,-3811343.032729,4718034.545764,277.938435,140.222397,-0.713803
1454837868.880000,1936362.688463,-3810641.667419,4718030.977015,277.887291,140.323726,-0.713676
1454837873.880000,1937751.997098,-3809939.795511,4718027.408900,277.836110,140.425037,-0.713548
1454837878.880000,1939141.049735,-3809237.417098,4718023.841422,277.784892,140.526328,-0.713421
1454837883.880000,1940529.846190,-3808534.532273,4718020.274579,277.733637,140.627601,-0.713294
1454837888.880000,1941918.386277,-3807831.141131,4718016.708373,277.682345,140.728856,-0.713167
1454837893.880000,1943306.669812,-3807127.243764,4718013.142803,277.631016,140.830091,-0.713039
1454837898.880000,1944694.696611,-3806422.840266,4718009.577871,277.579650,140.931308,-0.712912
1454837903.880000,1946082.466488,-3805717.930730,4718006.013578,277.528248,141.032506,-0.712784
1454837908.880000,1947469.979261,-3805012.515251,4718002.449922,277.476808,141.133685,-0.712656
1454837913.880000,1948857.234743,-3804306.593922,4717998.886905,277.425332,141.234846,-0.712529
1454837918.880000,1950244.232750,-3803600.166837,4717995.324528,277.373818,141.335988,-0.712401
1454837923.880000,1951630.973099,-3802893.234090,4717991.762791,277.322268,141.437111,-0.712273
1454837928.880000,1953017.455605,-3802185.795775,4717988.201694,277.270681,141.538215,-0.712144
1454837933.880000,1954403.680083,-3801477.851985,4717984.641237,277.219057,141.639301,-0.712016
1454837938.880000,1955789.646350,-3800769.402816,4717981.081422,277.167396,141.740367,-0.711888
1454837943.880000,1957175.354221,-3800060.448361,4717977.522249,277.115699,141.841415,-0.711760
1454837948.880000,1958560.803511,-3799350.988714,4717973.963717,277.063964,141.942444,-0.711631
1454837953.880000,1959945.994038,-3798641.023970,4717970.405829,277.012193,142.043454,-0.711502
1454837958.880000,1961330.925615,-3797930.554223,4717966.848583,276.960385,142.144445,-0.711374
1454837963.880000,1962715.598060,-3797219.579568,4717963.291982,276.908540,142.245417,-0.711245
1454837968.880000,1964100.011189,-3796508.100099,4717959.736024,276.856658,142.346370,-0.711116
1454837973.880000,1965484.164816,-3795796.115910,4717956.180711,276.804740,142.447305,-0.710987
1454837978.880000,1966868.058759,-3795083.627097,4717952.626042,276.752784,142.548220,-0.710858
1454837983.880000,1968251.692833,-3794370.633754,4717949.072020,276.700792,142.649117,-0.710729
1454837988.880000,1969635.066855,-3793657.135976,4717945.518643,276.648763,142.749994,-0.710600
1454837993.880000,1971018.180640,-3792943.133857,4717941.965913,276.596698,142.850853,-0.710470
1454837998.880000,1972401.034004,-3792228.627493,4717938.413830,276.544595,142.951693,-0.710341
1454838003.880000,1973783.626765,-3791513.616979,4717934.862394,276.492456,143.052513,-0.710211
1454838008.880000,1975165.958737,-3790798.102409,4717931.311606,276.440280,143.153315,-0.710082
1454838013.880000,1976548.029737,-3790082.083879,4717927.761466,276.388067,143.254097,-0.709952
1454838018.880000,1977929.839582,-3789365.561484,4717924.211975,276.335818,143.354861,-0.709822
1454838023.880000,1979311.388088,-3788648.535319,4717920.663133,276.283532,143.455605,-0.709692
1454838028.880000,1980692.675071,-3787931.005479,4717917.114941,276.231209,143.556330,-0.709562
1454838033.880000,1982073.700347,-3787212.972061,4717913.567400,276.178849,143.657037,-0.709432
1454838038.880000,1983454.463734,-3786494.435159,4717910.020509,276.126453,143.757724,-0.709302
1454838043.880000,1984834.965046,-3785775.394868,4717906.474269,276.074019,143.858392,-0.709172
1454838048.880000,1986215.204101,-3785055.851286,4717902.928681,276.021550,143.959041,-0.709041
1454838053.880000,1987595.180716,-3784335.804506,4717899.383745,275.969043,144.059671,-0.708911
1454838058.880000,1988974.894707,-3783615.254625,4717895.839461,275.916500,144.160281,-0.708780
1454838063.880000,1990354.345890,-3782894.201738,4717892.295831,275.863920,144.260873,-0.708650
1454838068.880000,1991733.534082,-3782172.645943,4717888.752854,275.811304,144.361445,-0.708519
1454838073.880000,1993112.459100,-3781450.587333,4717885.210531,275.758651,144.461998,-0.708388
1454838078.880000,1994491.120760,-3780728.026006,4717881.668862,275.705961,144.562532,-0.708257
1454838083.880000,1995869.518880,-3780004.962058,4717878.127849,275.653234,144.663047,-0.708126
1454838088.880000,1997247.653275,-3779281.395584,4717874.587491,275.600471,144.763542,-0.707995
1454838093.880000,1998625.523763,-3778557.326680,4717871.047789,275.547671,144.864019,-0.707864
1454838098.880000,2000003.130161,-3777832.755444,4717867.508743,275.494835,144.964476,-0.707732
1454838103.880000,2001380.472285,-3777107.681971,4717863.970354,275.441962,145.064913,-0.707601
1454838108.880000,2002757.549952,-3776382.106358,4717860.432622,275.389052,145.165332,-0.707469
1454838113.880000,2004134.362980,-3775656.028701,4717856.895548,275.336106,145.265731,-0.707338
1454838118.880000,2005510.911185,-3774929.449097,4717853.359132,275.283123,145.366111,-0.707206
1454838123.880000,2006887.194384,-3774202.367641,4717849.823375,275.230104,145.466471,-0.707074
1454838128.880000,2008263.212394,-3773474.784432,4717846.288277,275.177048,145.566812,-0.706942
1454838133.880000,2009638.965033,-3772746.699566,4717842.753838,275.123955,145.667134,-0.706811
1454838138.880000,2011014.452117,-3772018.113139,4717839.220060,275.070826,145.767436,-0.706678
1454838143.880000,2012389.673463,-3771289.025248,4717835.686943,275.017660,145.867720,-0.706546
1454838148.880000,2013764.628890,-3770559.435991,4717832.154486,274.964458,145.967983,-0.706414
1454838153.880000,2015139.318213,-3769829.345464,4717828.622691,274.911219,146.068227,-0.706282
1454838158.880000,2016513.741251,-3769098.753764,4717825.091558,274.857943,146.168452,-0.706149
1454838163.880000,2017887.897820,-3768367.660988,4717821.561087,274.804631,146.268658,-0.706017
1454838168.880000,2019261.787738,-3767636.067234,4717818.031280,274.751283,146.368844,-0.705884
1454838173.880000,2020635.410822,-3766903.972599,4717814.502135,274.697898,146.469010,-0.705751
