t_gps,x,y,z,vx,vy,vz
1443484818.0,269336.9004326974,-240159.09798606942,-124870.96192725608,0.6769941431373373,0.6737375682877306,0.3817118465500514
1443484819.0,269337.57743696,-240158.42416041085,-124870.58016692822,0.6769922060178425,0.673739322494647,0.3817127583039763
1443484820.0,269338.2544393453,-240157.75033299587,-124870.19840568688,0.6769902688924073,0.6737410766976466,0.3817136700556349
1443484821.0,269338.93143973715,-240157.07650382858,-124869.8166435382,0.6769883317610311,0.6737428308967206,0.38171458180502876
1443484822.0,269339.6084382017,-240156.40267291304,-124869.4348804698,0.676986394623716,0.6737445850918748,0.38171549355215495
1443484823.0,269340.28543473926,-240155.72884022447,-124869.0531164941,0.6769844574804651,0.6737463392831154,0.38171640529700746
1443484824.0,269340.9624293498,-240155.05500579614,-124868.67135160697,0.6769825203312715,0.6737480934704333,0.38171731703958767
1443484825.0,269341.6394219833,-240154.3811696154,-124868.28958580634,0.6769805831761421,0.6737498476538285,0.38171822877990924
1443484826.0,269342.3164127395,-240153.70733166998,-124867.90781909424,0.6769786460150722,0.673751601833301,0.381719140517951
1443484827.0,269342.9934015188,-240153.03349198043,-124867.52605147068,0.6769767088480613,0.6737533560088568,0.3817200522537311
1443484828.0,269343.6703883544,-240152.3596505345,-124867.14428293573,0.6769747716751144,0.6737551101804838,0.3817209639872375
1443484829.0,269344.3473732795,-240151.68580732378,-124866.76251348724,0.6769728344962266,0.6737568643482033,0.38172187571847915
1443484830.0,269345.0243562776,-240151.01196236906,-124866.38074312938,0.6769708973114006,0.6737586185119969,0.3817227874474486
1443484831.0,269345.70133731526,-240150.33811566618,-124865.998971858,0.6769689601206393,0.673760372671865,0.3817236991741488
1443484832.0,269346.37831639254,-240149.66426719434,-124865.61719967515,0.6769670229239318,0.6737621268278192,0.3817246108985828
1443484833.0,269347.0552935594,-240148.9904169786,-124865.23542658296,0.6769650857212886,0.6737638809798447,0.3817255226207476
1443484834.0,269347.732268766,-240148.31656500217,-124864.85365257935,0.6769631485127078,0.6737656351279597,0.38172643434064313
1443484835.0,269348.4092420786,-240147.64271127345,-124864.47187765806,0.6769612112981859,0.6737673892721369,0.38172734605826497
1443484836.0,269349.08621343103,-240146.9688557883,-124864.09010182947,0.6769592740777259,0.6737691434124125,0.3817282577736266
1443484837.0,269349.763182823,-240146.29499855492,-124863.70832508942,0.6769573368513279,0.6737708975487592,0.38172916948671304
1443484838.0,269350.44015028793,-240145.62113956508,-124863.3265474338,0.6769553996189909,0.6737726516811833,0.3817300811975287
1443484839.0,269351.1171158257,-240144.9472788188,-124862.94476887089,0.6769534623807127,0.6737744058096907,0.38173099290608115
1443484840.0,269351.79407943645,-240144.2734163244,-124862.56298939238,0.6769515251364981,0.6737761599342694,0.3817319046123584
1443484841.0,269352.4710411034,-240143.59955206933,-124862.18120900657,0.6769495878863423,0.6737779140549375,0.38173281631637096
1443484842.0,269353.1480008267,-240142.92568605367,-124861.79942770311,0.6769476506302506,0.6737796681716708,0.38173372801811123
1443484843.0,269353.8249585897,-240142.2518182899,-124861.41764549236,0.6769457133682178,0.6737814222844903,0.38173463971758537
1443484844.0,269354.50191447535,-240141.5779487779,-124861.03586237223,0.6769437761002461,0.6737831763933994,0.3817355514147887
1443484845.0,269355.17886835086,-240140.90407751364,-124860.65407833445,0.6769418388263364,0.6737849304983795,0.38173646310972287
1443484846.0,269355.85582033254,-240140.23020448454,-124860.27229338729,0.6769399015464893,0.673786684599434,0.38173737480238934
1443484847.0,269356.5327703539,-240139.5563297115,-124859.89050752869,0.6769379642607011,0.6737884386965659,0.3817382864927865
1443484848.0,269357.2097184647,-240138.88245317782,-124859.5087207607,0.6769360269689739,0.673790192789787,0.3817391981809115
1443484849.0,269357.88666463183,-240138.2085748877,-124859.12693307923,0.6769340896713086,0.6737919468790855,0.3817401098667703
1443484850.0,269358.56360883865,-240137.5346948494,-124858.74514448423,0.6769321523677053,0.6737937009644582,0.3817410215503599
1443484851.0,269359.24055111833,-240136.86081305047,-124858.36335497985,0.6769302150581624,0.6737954550459082,0.3817419332316802
1443484852.0,269359.9174914543,-240136.1869295034,-124857.98156456403,0.6769282777426806,0.6737972091234415,0.38174284491072985
1443484853.0,269360.5944298798,-240135.51304419988,-124857.59977322846,0.6769263404212583,0.6737989631970522,0.38174375658751025
1443484854.0,269361.271366345,-240134.8391571399,-124857.21798099393,0.676924403093901,0.6738007172667492,0.3817446682620229
1443484855.0,269361.94830088306,-240134.16526832763,-124856.83618783757,0.6769224657606019,0.6738024713325114,0.3817455799342664
1443484856.0,269362.6252334608,-240133.49137775472,-124856.45439377184,0.6769205284213639,0.6738042253943599,0.3817464916042376
1443484857.0,269363.3021641114,-240132.8174854378,-124856.07259879881,0.6769185910761899,0.6738059794522918,0.3817474032719412
1443484858.0,269363.97909283504,-240132.14359136444,-124855.69080291229,0.6769166537250741,0.673807733506295,0.3817483149373815
1443484859.0,269364.6560195982,-240131.4696955387,-124855.30900611223,0.676914716368021,0.6738094875563754,0.38174922660054655
1443484860.0,269365.33294446755,-240130.79579795242,-124854.92720840282,0.6769127790050282,0.6738112416025391,0.38175013826144394
1443484861.0,269366.0098673433,-240130.12189861792,-124854.54540977778,0.6769108416360982,0.6738129956447801,0.3817510499200646
1443484862.0,269366.686788292,-240129.44799752283,-124854.16361023927,0.6769089042612292,0.6738147496831045,0.38175196157642655
1443484863.0,269367.3637073468,-240128.77409467546,-124853.78180979966,0.6769069668804205,0.6738165037175062,0.38175287323051477
1443484864.0,269368.04062445794,-240128.10019007578,-124853.40000844031,0.6769050294936746,0.6738182577479731,0.38175378488233674
1443484865.0,269368.7175395754,-240127.42628372787,-124853.01820616744,0.6769030921009882,0.6738200117745414,0.38175469653188654
1443484866.0,269369.3944527991,-240126.7523756194,-124852.63640299145,0.6769011547023646,0.673821765797175,0.3817556081791641
1443484867.0,269370.07136409567,-240126.07846575865,-124852.2545988978,0.6768992172978004,0.6738235198158828,0.3817565198241769
1443484868.0,269370.7482734319,-240125.40455414556,-124851.8727938927,0.6768972798872983,0.673825273830677,0.38175743146692054
1443484869.0,269371.42518084106,-240124.73064076772,-124851.49098797404,0.6768953424708558,0.6738270278415455,0.38175834310739193
1443484870.0,269372.1020862899,-240124.05672564163,-124851.1091811502,0.6768934050484781,0.6738287818485003,0.38175925474559563
1443484871.0,269372.77898979496,-240123.38280876746,-124850.72737340661,0.6768914676201608,0.6738305358515263,0.3817601663815331
1443484872.0,269373.45589140616,-240122.70889013688,-124850.34556475784,0.6768895301859055,0.6738322898506417,0.3817610780151953
1443484873.0,269374.13279107364,-240122.03496975394,-124849.96375519552,0.6768875927457104,0.6738340438458253,0.38176198964658836
1443484874.0,269374.8096887643,-240121.3610476145,-124849.58194472175,0.6768856552995743,0.6738357978370894,0.38176290127571666
1443484875.0,269375.48658454436,-240120.68712371445,-124849.20013333239,0.6768837178475038,0.6738375518244336,0.3817638129025712
1443484876.0,269376.1634783641,-240120.0131980705,-124848.81832103575,0.6768817803894914,0.6738393058078431,0.3817647245271596
1443484877.0,269376.84037027333,-240119.33927066583,-124848.43650782766,0.6768798429255417,0.6738410597873481,0.3817656361494772
1443484878.0,269377.51726020576,-240118.66534150887,-124848.05469370606,0.6768779054556516,0.6738428137629392,0.3817665477695242
1443484879.0,269378.1941482275,-240117.99141059964,-124847.67287867301,0.6768759679798257,0.6738445677345807,0.3817674593873049
1443484880.0,269378.87103430566,-240117.31747793805,-124847.29106272852,0.6768740304980616,0.6738463217023175,0.38176837100281336
1443484881.0,269379.5479184567,-240116.64354351166,-124846.9092458726,0.676872093010355,0.6738480756661316,0.38176928261605414
1443484882.0,269380.22480068065,-240115.96960734134,-124846.52742810315,0.6768701555167125,0.6738498296260289,0.3817701942270212
1443484883.0,269380.9016809608,-240115.2956694145,-124846.14560942433,0.6768682180171318,0.6738515835819946,0.38177110583572355
1443484884.0,269381.5785592807,-240114.62172973953,-124845.763789832,0.6768662805116115,0.6738533375340556,0.38177201744215516
1443484885.0,269382.2554356569,-240113.94778829985,-124845.38196933237,0.6768643430001539,0.6738550914821789,0.38177292904631455
1443484886.0,269382.9323101226,-240113.27384511192,-124845.00014791508,0.6768624054827543,0.6738568454263825,0.38177384064820774
1443484887.0,269383.60918266117,-240112.59990016758,-124844.6183255905,0.6768604679594205,0.6738585993666604,0.3817747522478302
1443484888.0,269384.2860532228,-240111.92595347093,-124844.23650235034,0.6768585304301454,0.6738603533030336,0.3817756638451834
1443484889.0,269384.9629218739,-240111.25200502196,-124843.85467820494,0.6768565928949332,0.6738621072354691,0.38177657544026744
1443484890.0,269385.63978858135,-240110.57805480817,-124843.47285314395,0.6768546553537826,0.6738638611639879,0.38177748703307923
1443484891.0,269386.31665331183,-240109.90410285874,-124843.09102716944,0.6768527178066919,0.673865615088581,0.3817783986236263
1443484892.0,269386.9935161651,-240109.23014913625,-124842.70920028561,0.6768507802536644,0.6738673690092544,0.38177931021190115
1443484893.0,269387.67037705804,-240108.55619367384,-124842.3273724903,0.6768488426946966,0.6738691229260141,0.38178022179790677
1443484894.0,269388.347235974,-240107.88223645088,-124841.94554378146,0.6768469051297906,0.673870876838848,0.3817811333816402
1443484895.0,269389.024092996,-240107.20827747142,-124841.56371416533,0.6768449675589473,0.6738726307477504,0.3817820449631059
1443484896.0,269389.70094809105,-240106.5343167521,-124841.18188363155,0.6768430299821652,0.673874384652739,0.3817829565423039
1443484897.0,269390.3778012424,-240105.8603542681,-124840.80005219049,0.6768410923994433,0.6738761385538079,0.38178386811923265
1443484898.0,269391.0546524333,-240105.18639002758,-124840.41821983588,0.676839154810785,0.6738778924509481,0.3817847796938892
1443484899.0,269391.73150169716,-240104.5124240389,-124840.03638657193,0.6768372172161877,0.6738796463441775,0.38178569126627804
1443484900.0,269392.4083490007,-240103.83845629374,-124839.65455239239,0.6768352796156509,0.6738814002334814,0.38178660283639465
1443484901.0,269393.08519441035,-240103.1644867963,-124839.27271730347,0.6768333420091759,0.6738831541188505,0.381787514404242
1443484902.0,269393.76203784306,-240102.4905155382,-124838.89088130309,0.6768314043967636,0.6738849080003089,0.38178842596982165
1443484903.0,269394.43887933204,-240101.81654252778,-124838.50904439544,0.6768294667784108,0.6738866618778476,0.3817893375331321
1443484904.0,269395.1157189106,-240101.14256776514,-124838.12720656597,0.6768275291541207,0.6738884157514636,0.38179024909417036
1443484905.0,269395.79255652876,-240100.46859125016,-124837.74536783337,0.676825591523894,0.6738901696211539,0.38179116065294083
1443484906.0,269396.469392253,-240099.794612987,-124837.36352818723,0.676823653887727,0.6738919234869275,0.38179207220944367
1443484907.0,269397.1462259838,-240099.1206329632,-124836.98168762967,0.6768217162456203,0.6738936773487664,0.3817929837636712
1443484908.0,269397.823057804,-240098.44665118298,-124836.59984615652,0.6768197785975755,0.6738954312066886,0.3817938953156281
1443484909.0,269398.4998876972,-240097.77266765875,-124836.2180037802,0.6768178409435955,0.6738971850606912,0.3817948068653217
1443484910.0,269399.17671563005,-240097.09868237388,-124835.83616048207,0.6768159032836746,0.6738989389107739,0.3817957184127431
1443484911.0,269399.85354165244,-240096.42469532846,-124835.45431627873,0.6768139656178169,0.6739006927569341,0.38179662995789376
1443484912.0,269400.53036571445,-240095.75070654313,-124835.07247116396,0.6768120279460197,0.6739024465991594,0.38179754150077677
1443484913.0,269401.20718781615,-240095.07671599297,-124834.69062513356,0.6768100902682821,0.6739042004374832,0.3817984530413845
1443484914.0,269401.884008024,-240094.40272369058,-124834.30877819384,0.67680815258461,0.6739059542718722,0.3817993645797305
1443484915.0,269402.5608262715,-240093.72872963588,-124833.92693034267,0.6768062148949969,0.6739077081023446,0.38180027611580136
1443484916.0,269403.2376425919,-240093.05473382887,-124833.54508158006,0.6768042771994472,0.6739094619288971,0.38180118764960597
1443484917.0,269403.9144569686,-240092.3807362696,-124833.16323190807,0.6768023394979586,0.673911215751521,0.38180209918113683
1443484918.0,269404.5912694181,-240091.7067369496,-124832.78138132462,0.6768004017905312,0.6739129695702283,0.38180301071039996
1443484919.0,269405.2680799074,-240091.03273587738,-124832.39952982352,0.6767984640771649,0.6739147233850008,0.3818039222373939
1443484920.0,269405.94488843635,-240090.35873305696,-124832.01767741515,0.6767965263578605,0.6739164771958596,0.3818048337621156
1443484921.0,269406.6216950714,-240089.6847284759,-124831.63582409531,0.6767945886326194,0.6739182310028017,0.3818057452845711
1443484922.0,269407.2984997627,-240089.01072214678,-124831.25396986403,0.6767926509014388,0.6739199848058092,0.3818066568047559
1443484923.0,269407.97530247713,-240088.33671406106,-124830.87211471926,0.6767907131643208,0.6739217386048999,0.38180756832266544
1443484924.0,269408.65210328106,-240087.66270421896,-124830.49025866303,0.6767887754212646,0.6739234924000769,0.3818084798383133
1443484925.0,269409.32890215784,-240086.98869262866,-124830.10840169743,0.6767868376722689,0.6739252461913192,0.3818093913516859
1443484926.0,269410.00569909095,-240086.31467927783,-124829.72654382039,0.6767848999173358,0.6739269999786478,0.3818103028627923
1443484927.0,269410.68249408033,-240085.6406641788,-124829.34468502775,0.6767829621564638,0.6739287537620507,0.38181121437162346
1443484928.0,269411.3592871592,-240084.9666473233,-124828.9628253299,0.6767810243896515,0.673930507541525,0.3818121258781899
1443484929.0,269412.0360782778,-240084.29262871548,-124828.58096471644,0.6767790866169048,0.6739322613170765,0.3818130373824796
1443484930.0,269412.71286743606,-240083.61860834708,-124828.19910319157,0.6767771488382192,0.6739340150887353,0.38181394888450765
1443484931.0,269413.38965470047,-240082.94458623463,-124827.81724075523,0.6767752110535947,0.6739357688564415,0.38181486038426193
1443484932.0,269414.0664400045,-240082.27056236163,-124827.4353774054,0.6767732732630299,0.6739375226202309,0.38181577188174254
1443484933.0,269414.74322336476,-240081.59653674034,-124827.05351315033,0.6767713354665307,0.6739392763800975,0.3818166833769599
1443484934.0,269415.42000478134,-240080.92250935858,-124826.67164797761,0.6767693976640912,0.6739410301360386,0.381817594869905
1443484935.0,269416.0967842543,-240080.24848022446,-124826.28978189346,0.6767674598557121,0.6739427838880659,0.38181850636057646
1443484936.0,269416.7735618333,-240079.57444933802,-124825.907914902,0.6767655220413971,0.6739445376361736,0.38181941784898465
1443484937.0,269417.4503373855,-240078.9004167034,-124825.526046997,0.6767635842211439,0.6739462913803435,0.3818203293351206
1443484938.0,269418.12711107713,-240078.22638231234,-124825.14417817851,0.6767616463949504,0.6739480451205967,0.3818212408189829
1443484939.0,269418.8038828251,-240077.55234616066,-124824.76230845481,0.6767597085628211,0.6739497988569392,0.3818221523005789
1443484940.0,269419.4806525794,-240076.87830825674,-124824.38043781136,0.6767577707247521,0.67395155258935,0.3818230637799027
1443484941.0,269420.1574204398,-240076.20426860458,-124823.99856626062,0.6767558328807465,0.6739533063178411,0.3818239752569588
1443484942.0,269420.83418635663,-240075.53022719183,-124823.61669379844,0.6767538950308005,0.6739550600423946,0.3818248867317412
1443484943.0,269421.51095039607,-240074.8561840309,-124823.23482042272,0.676751957174918,0.6739568137630313,0.3818257982042544
1443484944.0,269422.18771239213,-240074.18213911357,-124822.8529461418,0.676750019313098,0.6739585674797604,0.3818267096745013
1443484945.0,269422.864472511,-240073.5080924438,-124822.47107094113,0.6767480814453385,0.6739603211925577,0.38182762114247304
1443484946.0,269423.54123068607,-240072.83404401768,-124822.0891948311,0.6767461435716401,0.6739620749014262,0.38182853260818
1443484947.0,269424.2179869008,-240072.15999383922,-124821.70731781378,0.676744205692005,0.6739638286063871,0.3818294440716148
1443484948.0,269424.8947412052,-240071.48594190853,-124821.3254398788,0.6767422678064327,0.6739655823074044,0.38183035553277883
1443484949.0,269425.57149356575,-240070.8118882254,-124820.94356103652,0.6767403299149214,0.67396733600452,0.3818312669916752
1443484950.0,269426.248243966,-240070.13783279003,-124820.56168128487,0.6767383920174712,0.6739690896976948,0.3818321784482993
1443484951.0,269426.9249924059,-240069.46377558986,-124820.1798006135,0.6767364541140838,0.6739708433869559,0.3818330899026527
1443484952.0,269427.601738952,-240068.7897166457,-124819.79791903897,0.6767345162047581,0.6739725970722973,0.3818340013547339
1443484953.0,269428.2784835709,-240068.1156559451,-124819.41603654677,0.6767325782894936,0.673974350753713,0.38183491280454734
1443484954.0,269428.95522617974,-240067.44159348807,-124819.03415314936,0.6767306403682926,0.673976104431206,0.38183582425209006
1443484955.0,269429.6319669113,-240066.76752928284,-124818.65226883431,0.6767287024411534,0.6739778581047734,0.3818367356973651
1443484956.0,269430.30870568246,-240066.09346331688,-124818.27038360984,0.6767267645080738,0.67397961177443,0.3818376471403679
1443484957.0,269430.9854425265,-240065.4193956029,-124817.88849747604,0.6767248265690592,0.6739813654401579,0.381838558581103
1443484958.0,269431.66217746015,-240064.74532613243,-124817.50661043079,0.6767228886241056,0.6739831191019451,0.38183947001956586
1443484959.0,269432.3389104003,-240064.07125491794,-124817.12472247198,0.6767209506732131,0.6739848727598307,0.3818403814557565
1443484960.0,269433.0156414464,-240063.39718193043,-124816.74283360176,0.6767190127163841,0.6739866264137725,0.3818412928896809
1443484961.0,269433.69237051567,-240062.72310719886,-124816.36094382012,0.6767170747536155,0.6739883800638156,0.3818422043213346
1443484962.0,269434.3690976744,-240062.04903071915,-124815.97905312495,0.6767151367849096,0.673990133709921,0.38184311575071755
1443484963.0,269435.0458228895,-240061.37495247886,-124815.59716152455,0.6767131988102654,0.6739918873521067,0.38184402717782834
