t_gps,x,y,z,vx,vy,vz
1443484818.0,-147565613.48719704,-23107514.514678076,-10016088.421096824,5.505336982929522,-26.830455703062704,-11.629470889510422
1443484819.0,-147565607.98476484,-23107541.34560223,-10016100.050771682,5.505342796781804,-26.83045476721977,-11.629470482032787
1443484820.0,-147565602.48232675,-23107568.176525444,-10016111.68044613,5.505348610633853,-26.83045383137581,-11.62947007455471
1443484821.0,-147565596.97988293,-23107595.00744773,-10016123.310120173,5.50535442448567,-26.83045289553083,-11.629469667076199
1443484822.0,-147565591.47743323,-23107621.83836908,-10016134.939793805,5.505360238337255,-26.830451959684822,-11.629469259597249
1443484823.0,-147565585.97497773,-23107648.66928949,-10016146.569467029,5.50536605218861,-26.8304510238378,-11.629468852117865
1443484824.0,-147565580.47251642,-23107675.500208966,-10016158.19913985,5.505371866039731,-26.83045008798974,-11.629468444638047
1443484825.0,-147565574.97004935,-23107702.331127513,-10016169.828812264,5.505377679890623,-26.830449152140666,-11.629468037157782
1443484826.0,-147565569.4675764,-23107729.162045125,-10016181.45848427,5.505383493741283,-26.83044821629057,-11.629467629677093
1443484827.0,-147565563.96509764,-23107755.992961798,-10016193.088155864,5.5053893075917095,-26.830447280439454,-11.62946722219596
1443484828.0,-147565558.4626131,-23107782.82387753,-10016204.717827056,5.5053951214419055,-26.830446344587312,-11.629466814714393
1443484829.0,-147565552.96012267,-23107809.654792327,-10016216.347497838,5.50540093529187,-26.83044540873414,-11.629466407232389
1443484830.0,-147565547.4576265,-23107836.4857062,-10016227.977168215,5.505406749141602,-26.830444472879947,-11.629465999749948
1443484831.0,-147565541.9551245,-23107863.316619128,-10016239.606838183,5.505412562991104,-26.830443537024735,-11.62946559226707
1443484832.0,-147565536.45261666,-23107890.14753112,-10016251.236507744,5.505418376840373,-26.830442601168503,-11.629465184783756
1443484833.0,-147565530.95010304,-23107916.978442192,-10016262.866176901,5.50542419068941,-26.830441665311245,-11.629464777300006
1443484834.0,-147565525.44758362,-23107943.809352312,-10016274.49584565,5.5054300045382165,-26.83044072945296,-11.629464369815818
1443484835.0,-147565519.94505832,-23107970.6402615,-10016286.125513988,5.50543581838679,-26.830439793593655,-11.629463962331196
1443484836.0,-147565514.44252723,-23107997.47116975,-10016297.755181916,5.505441632235132,-26.830438857733327,-11.629463554846133
1443484837.0,-147565508.93999037,-23108024.30207707,-10016309.384849444,5.505447446083243,-26.830437921871976,-11.629463147360637
1443484838.0,-147565503.43744764,-23108051.132983454,-10016321.014516558,5.505453259931123,-26.830436986009598,-11.629462739874706
1443484839.0,-147565497.93489915,-23108077.9638889,-10016332.64418327,5.50545907377877,-26.8304360501462,-11.629462332388334
1443484840.0,-147565492.43234485,-23108104.79479342,-10016344.273849573,5.505464887626185,-26.83043511428178,-11.62946192490153
1443484841.0,-147565486.92978463,-23108131.62569699,-10016355.90351547,5.505470701473369,-26.830434178416333,-11.629461517414285
1443484842.0,-147565481.4272187,-23108158.45659963,-10016367.533180958,5.505476515320322,-26.830433242549866,-11.629461109926606
1443484843.0,-147565475.92464694,-23108185.287501328,-10016379.162846036,5.505482329167042,-26.830432306682386,-11.629460702438488
1443484844.0,-147565470.42206934,-23108212.11840211,-10016390.792510716,5.505488143013531,-26.830431370813866,-11.629460294949938
1443484845.0,-147565464.91948596,-23108238.94930195,-10016402.422174979,5.505493956859789,-26.830430434944326,-11.629459887460946
1443484846.0,-147565459.41689673,-23108265.780200846,-10016414.051838836,5.505499770705816,-26.830429499073773,-11.629459479971523
1443484847.0,-147565453.9143017,-23108292.611098815,-10016425.681502292,5.50550558455161,-26.830428563202187,-11.629459072481659
1443484848.0,-147565448.41170084,-23108319.44199584,-10016437.311165335,5.505511398397172,-26.830427627329584,-11.62945866499136
1443484849.0,-147565442.9090942,-23108346.27289194,-10016448.940827975,5.505517212242502,-26.830426691455955,-11.629458257500625
1443484850.0,-147565437.40648177,-23108373.1037871,-10016460.570490208,5.505523026087602,-26.830425755581302,-11.629457850009452
1443484851.0,-147565431.90386343,-23108399.934681315,-10016472.20015203,5.505528839932469,-26.83042481970563,-11.629457442517843
1443484852.0,-147565426.40123937,-23108426.765574604,-10016483.829813447,5.505534653777105,-26.830423883828928,-11.629457035025798
1443484853.0,-147565420.89860943,-23108453.596466962,-10016495.459474448,5.5055404676215085,-26.830422947951213,-11.629456627533315
1443484854.0,-147565415.39597374,-23108480.427358378,-10016507.089135054,5.5055462814656835,-26.830422012072464,-11.629456220040396
1443484855.0,-147565409.89333218,-23108507.258248862,-10016518.718795247,5.505552095309622,-26.830421076192696,-11.629455812547041
1443484856.0,-147565404.3906848,-23108534.0891384,-10016530.34845503,5.505557909153332,-26.83042014031191,-11.629455405053251
1443484857.0,-147565398.88803166,-23108560.92002701,-10016541.978114413,5.5055637229968095,-26.830419204430093,-11.629454997559023
1443484858.0,-147565393.38537267,-23108587.75091469,-10016553.607773388,5.5055695368400555,-26.830418268547255,-11.629454590064356
1443484859.0,-147565387.88270792,-23108614.581801437,-10016565.23743195,5.505575350683069,-26.830417332663398,-11.629454182569257
1443484860.0,-147565382.38003728,-23108641.412687242,-10016576.86709011,5.505581164525851,-26.830416396778517,-11.629453775073717
1443484861.0,-147565376.87736085,-23108668.24357211,-10016588.496747857,5.505586978368402,-26.830415460892613,-11.629453367577746
1443484862.0,-147565371.37467867,-23108695.074456044,-10016600.1264052,5.505592792210721,-26.830414525005686,-11.62945296008133
1443484863.0,-147565365.8719906,-23108721.905339036,-10016611.75606214,5.505598606052809,-26.83041358911773,-11.629452552584485
1443484864.0,-147565360.3692967,-23108748.73622111,-10016623.385718666,5.505604419894665,-26.83041265322876,-11.6294521450872
1443484865.0,-147565354.86659703,-23108775.567102235,-10016635.015374787,5.505610233736289,-26.830411717338755,-11.629451737589479
1443484866.0,-147565349.3638915,-23108802.397982426,-10016646.645030502,5.505616047577681,-26.830410781447732,-11.629451330091323
1443484867.0,-147565343.86118022,-23108829.228861686,-10016658.274685811,5.505621861418843,-26.83040984555569,-11.629450922592726
1443484868.0,-147565338.35846314,-23108856.05974001,-10016669.90434071,5.50562767525977,-26.830408909662626,-11.629450515093696
1443484869.0,-147565332.85574016,-23108882.890617393,-10016681.533995202,5.505633489100468,-26.830407973768533,-11.629450107594229
1443484870.0,-147565327.35301143,-23108909.721493844,-10016693.163649285,5.505639302940934,-26.83040703787342,-11.629449700094325
1443484871.0,-147565321.85027686,-23108936.55236936,-10016704.793302964,5.505645116781168,-26.83040610197729,-11.62944929259398
1443484872.0,-147565316.34753647,-23108963.383243952,-10016716.422956234,5.505650930621172,-26.83040516608012,-11.62944888509321
1443484873.0,-147565310.84479028,-23108990.214117594,-10016728.052609101,5.505656744460942,-26.83040423018194,-11.629448477591994
1443484874.0,-147565305.34203827,-23109017.044990305,-10016739.682261553,5.505662558300481,-26.830403294282736,-11.629448070090346
1443484875.0,-147565299.83928046,-23109043.875862073,-10016751.3119136,5.505668372139787,-26.830402358382504,-11.629447662588257
1443484876.0,-147565294.33651686,-23109070.70673292,-10016762.941565244,5.505674185978863,-26.830401422481255,-11.629447255085733
1443484877.0,-147565288.8337474,-23109097.537602812,-10016774.571216479,5.505679999817708,-26.830400486578984,-11.629446847582773
1443484878.0,-147565283.33097214,-23109124.368471783,-10016786.200867303,5.505685813656319,-26.830399550675676,-11.629446440079379
1443484879.0,-147565277.8281911,-23109151.199339822,-10016797.830517726,5.5056916274947,-26.830398614771358,-11.629446032575544
1443484880.0,-147565272.32540417,-23109178.03020692,-10016809.460167732,5.505697441332851,-26.830397678866017,-11.629445625071277
1443484881.0,-147565266.82261148,-23109204.861073077,-10016821.089817341,5.505703255170766,-26.830396742959646,-11.629445217566568
1443484882.0,-147565261.31981295,-23109231.69193831,-10016832.719466537,5.505709069008452,-26.830395807052255,-11.629444810061429
1443484883.0,-147565255.81700858,-23109258.5228026,-10016844.349115327,5.505714882845906,-26.830394871143845,-11.62944440255585
1443484884.0,-147565250.3141985,-23109285.353665963,-10016855.978763707,5.505720696683128,-26.8303939352344,-11.629443995049833
1443484885.0,-147565244.8113825,-23109312.184528377,-10016867.608411683,5.5057265105201205,-26.83039299932394,-11.629443587543381
1443484886.0,-147565239.30856073,-23109339.015389863,-10016879.23805925,5.505732324356877,-26.830392063412464,-11.62944318003649
1443484887.0,-147565233.80573317,-23109365.846250415,-10016890.867706418,5.505738138193406,-26.830391127499958,-11.629442772529167
1443484888.0,-147565228.30289975,-23109392.67711003,-10016902.497353168,5.505743952029702,-26.830390191586428,-11.629442365021404
1443484889.0,-147565222.80006054,-23109419.50796871,-10016914.126999518,5.505749765865765,-26.830389255671875,-11.629441957513205
1443484890.0,-147565217.29721555,-23109446.338826448,-10016925.756645456,5.5057555797015985,-26.830388319756295,-11.629441550004572
1443484891.0,-147565211.7943647,-23109473.16968326,-10016937.386290986,5.505761393537198,-26.830387383839703,-11.629441142495498
1443484892.0,-147565206.29150805,-23109500.000539135,-10016949.015936114,5.5057672073725685,-26.83038644792208,-11.629440734985991
1443484893.0,-147565200.7886456,-23109526.831394073,-10016960.64558083,5.5057730212077045,-26.830385512003435,-11.629440327476045
1443484894.0,-147565195.28577727,-23109553.662248064,-10016972.275225138,5.50577883504261,-26.830384576083762,-11.629439919965668
1443484895.0,-147565189.7829032,-23109580.493101142,-10016983.904869044,5.505784648877284,-26.830383640163078,-11.629439512454846
1443484896.0,-147565184.28002328,-23109607.32395327,-10016995.534512538,5.505790462711726,-26.830382704241362,-11.629439104943593
1443484897.0,-147565178.77713752,-23109634.154804472,-10017007.164155627,5.5057962765459365,-26.83038176831862,-11.629438697431898
1443484898.0,-147565173.27424604,-23109660.985654723,-10017018.793798307,5.505802090379916,-26.83038083239487,-11.629438289919772
1443484899.0,-147565167.77134866,-23109687.816504054,-10017030.423440583,5.505807904213663,-26.830379896470077,-11.629437882407208
1443484900.0,-147565162.2684455,-23109714.64735244,-10017042.053082446,5.505813718047178,-26.830378960544273,-11.629437474894207
1443484901.0,-147565156.76553652,-23109741.478199895,-10017053.682723904,5.505819531880461,-26.830378024617453,-11.62943706738077
1443484902.0,-147565151.26262173,-23109768.30904642,-10017065.312364958,5.5058253457135145,-26.830377088689595,-11.629436659866895
1443484903.0,-147565145.75970113,-23109795.139891997,-10017076.942005603,5.505831159546335,-26.830376152760724,-11.629436252352585
1443484904.0,-147565140.2567747,-23109821.97073665,-10017088.57164584,5.505836973378924,-26.830375216830816,-11.62943584483784
