t_gps_s,r_x,r_y,r_z,v_x,v_y,v_z
1461951436.408,4314.293047797237,5658.07674092726,1736.7944957409345,-1.9518427034336128,-0.6911686964749606,7.084667372821286
1461951441.408,4304.479097855674,5654.549117884431,1772.1956260811803,-1.9737219506332622,-0.7198863793901182,7.075737539487363
1461951446.408,4294.555876918096,5650.877952070019,1807.5516570075906,-1.9955509433339103,-0.7485855879858718,7.066627706738473
1461951451.408,4284.523637659201,5647.063337695078,1842.8616891096606,-2.017329121570583,-0.7772655867247522,7.057338111400668
1461951456.408,4274.382635546272,5643.105372649829,1878.124824173589,-2.0390559283468974,-0.8059256393780743,7.0478689950141415
1461951461.408,4264.1331288324145,5639.004158501085,1913.3401652047417,-2.060730806590982,-0.8345650113951706,7.038220603808213
1461951466.408,4253.775378550708,5634.759800488463,1948.5068164513063,-2.082353200965372,-0.8631829685737102,7.028393188707014
1461951471.408,4243.30964850691,5630.372407521483,1983.6238834280111,-2.103922557857004,-0.8917787770751602,7.018387005311524
1461951476.408,4232.736205271642,5625.8420921770885,2018.6904729393202,-2.1254383249188322,-0.9203517038113205,7.008202313900256
1461951481.408,4222.05531817412,5621.168970695889,2053.7056931023103,-2.1468999512517257,-0.9489010163460989,6.997839379415382
1461951486.408,4211.267259293615,5616.3531629794215,2088.668653371211,-2.1683068870888746,-0.9774259831601739,6.987298471454324
1461951491.408,4200.3723034541545,5611.394792585735,2123.57846455913,-2.189658585421057,-1.0059258724668325,6.976579864267023
1461951496.408,4189.370728214971,5606.293986727022,2158.4342388626524,-2.210954498639694,-1.0343999547349085,6.965683836739572
1461951501.408,4178.262813864721,5601.050876265042,2193.2350898841546,-2.2321940825613638,-1.0628474997529338,6.954610672390572
1461951506.408,4167.048843412827,5595.6655957082585,2227.9801326549014,-2.2533767930863178,-1.0912677791175156,6.943360659356131
1461951511.408,4155.729102582179,5590.13828320739,2262.6684836591535,-2.27450208875689,-1.1196600643761485,6.931934090392133
1461951516.408,4144.303879801765,5584.469080551852,2297.299260855647,-2.29556942902218,-1.1480236283323393,6.920331262849686
1461951521.408,4132.773466198123,5578.658133165762,2331.871583702101,-2.3165782752148516,-1.1763577443780378,6.9085524786837595
1461951526.408,4121.138155589308,5572.705590102939,2366.3845731768993,-2.3375280896134427,-1.2046616871975857,6.896598044423172
1461951531.408,4109.398244474072,5566.611604044418,2400.83735180316,-2.3584183373450287,-1.2329347314007464,6.884468271181504
1461951536.408,4097.554032026593,5560.37633129251,2435.229043670547,-2.3792484834011702,-1.2611761537446,6.872163474629815
1461951541.408,4085.6058200864877,5553.999931767611,2469.5587744586483,-2.4000179959780326,-1.2893852307151974,6.859683974996642
1461951546.408,4073.5539131522696,5547.482569002517,2503.8256714597137,-2.4207263441167015,-1.3175612402974366,6.847030097055267
1461951551.408,4061.3986183722445,5540.8244101385435,2538.0288636011705,-2.441372998654515,-1.3457034612829375,6.834202170116441
1461951556.408,4049.1402455360867,5534.025625920928,2572.167481468276,-2.46195743194221,-1.3738111735447092,6.821200528011559
1461951561.408,4036.7791070669346,5527.086390693672,2606.2406573268495,-2.4824791183159505,-1.40188365767699,6.808025509084018
1461951566.408,4024.3155180128488,5520.006882394763,2640.2475251456763,-2.502937533964996,-1.4299201951662326,6.794677456191948
